LineID,Order ID,Order Date,Ship Date,Ship Mode,Category,Sub-Category,Country,Region,State,Postal Code,Product Name,Customer Name,Sales,Quantity,Profit,Discount
1,CA-2017-152156,08/11/2017 00:00,11/11/2017 00:00,Second Class,Furniture,Bookcases,United States,South,Kentucky,42420,Bush Somerset Collection Bookcase,Claire Gute,261.96,2,41.9136,0
2,CA-2017-152156,08/11/2017 00:00,11/11/2017 00:00,Second Class,Furniture,Chairs,United States,South,Kentucky,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Claire Gute,731.94,3,219.582,0
3,CA-2017-138688,12/06/2017 00:00,16/06/2017 00:00,Second Class,Office Supplies,Labels,United States,West,California,90036,Self-Adhesive Address Labels for Typewriters by Universal,Darrin Van Huff,14.62,2,6.8714,0
4,US-2016-108966,11/10/2016 00:00,18/10/2016 00:00,Standard Class,Furniture,Tables,United States,South,Florida,33311,Bretford CR4500 Series Slim Rectangular Table,Sean O'Donnell,957.5775,5,-383.031,0.45
5,US-2016-108966,11/10/2016 00:00,18/10/2016 00:00,Standard Class,Office Supplies,Storage,United States,South,Florida,33311,Eldon Fold 'N Roll Cart System,Sean O'Donnell,22.368,2,2.5164,0.2
6,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Furniture,Furnishings,United States,West,California,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Brosina Hoffman,48.86,7,14.1694,0
7,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Office Supplies,Art,United States,West,California,90032,Newell 322,Brosina Hoffman,7.28,4,1.9656,0
8,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Technology,Phones,United States,West,California,90032,Mitel 5320 IP Phone VoIP phone,Brosina Hoffman,907.152,6,90.7152,0.2
9,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Office Supplies,Binders,United States,West,California,90032,DXL Angle-View Binders with Locking Rings by Samsill,Brosina Hoffman,18.504,3,5.7825,0.2
10,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Office Supplies,Appliances,United States,West,California,90032,Belkin F5C206VTEL 6 Outlet Surge,Brosina Hoffman,114.9,5,34.47,0
11,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Furniture,Tables,United States,West,California,90032,Chromcraft Rectangular Conference Tables,Brosina Hoffman,1706.184,9,85.3092,0.2
12,CA-2015-115812,09/06/2015 00:00,14/06/2015 00:00,Standard Class,Technology,Phones,United States,West,California,90032,Konftel 250 Conference phone - Charcoal black,Brosina Hoffman,911.424,4,68.3568,0.2
13,CA-2018-114412,15/04/2018 00:00,20/04/2018 00:00,Standard Class,Office Supplies,Paper,United States,South,North Carolina,28027,Xerox 1967,Andrew Allen,15.552,3,5.4432,0.2
14,CA-2017-161389,05/12/2017 00:00,10/12/2017 00:00,Standard Class,Office Supplies,Binders,United States,West,Washington,98103,Fellowes PB200 Plastic Comb Binding Machine,Irene Maddox,407.976,3,132.5922,0.2
15,US-2016-118983,22/11/2016 00:00,26/11/2016 00:00,Standard Class,Office Supplies,Appliances,United States,Central,Texas,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Harold Pawlan,68.81,5,-123.858,0.8
16,US-2016-118983,22/11/2016 00:00,26/11/2016 00:00,Standard Class,Office Supplies,Binders,United States,Central,Texas,76106,Storex DuraTech Recycled Plastic Frosted Binders,Harold Pawlan,2.544,3,-3.816,0.8
17,CA-2015-105893,11/11/2015 00:00,18/11/2015 00:00,Standard Class,Office Supplies,Storage,United States,Central,Wisconsin,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Pete Kriz,665.88,6,13.3176,0
18,CA-2015-167164,13/05/2015 00:00,15/05/2015 00:00,Second Class,Office Supplies,Storage,United States,West,Utah,84084,Fellowes Super Stor/Drawer,Alejandro Grove,55.5,2,9.99,0
19,CA-2015-143336,27/08/2015 00:00,01/09/2015 00:00,Second Class,Office Supplies,Art,United States,West,California,94109,Newell 341,Zuschuss Donatelli,8.56,2,2.4824,0
20,CA-2015-143336,27/08/2015 00:00,01/09/2015 00:00,Second Class,Technology,Phones,United States,West,California,94109,Cisco SPA 501G IP Phone,Zuschuss Donatelli,213.48,3,16.011,0.2
21,CA-2015-143336,27/08/2015 00:00,01/09/2015 00:00,Second Class,Office Supplies,Binders,United States,West,California,94109,"Wilson Jones Hanging View Binder, White, 1""",Zuschuss Donatelli,22.72,4,7.384,0.2
22,CA-2017-137330,09/12/2017 00:00,13/12/2017 00:00,Standard Class,Office Supplies,Art,United States,Central,Nebraska,68025,Newell 318,Ken Black,19.46,7,5.0596,0
23,CA-2017-137330,09/12/2017 00:00,13/12/2017 00:00,Standard Class,Office Supplies,Appliances,United States,Central,Nebraska,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",Ken Black,60.34,7,15.6884,0
24,US-2018-156909,16/07/2018 00:00,18/07/2018 00:00,Second Class,Furniture,Chairs,United States,East,Pennsylvania,19140,"Global Deluxe Stacking Chair, Gray",Sandra Flanagan,71.372,2,-1.0196,0.3
25,CA-2016-106320,25/09/2016 00:00,30/09/2016 00:00,Standard Class,Furniture,Tables,United States,West,Utah,84057,Bretford CR4500 Series Slim Rectangular Table,Emily Burns,1044.63,3,240.2649,0
26,CA-2017-121755,16/01/2017 00:00,20/01/2017 00:00,Second Class,Office Supplies,Binders,United States,West,California,90049,Wilson Jones Active Use Binders,Eric Hoffmann,11.648,2,4.2224,0.2
27,CA-2017-121755,16/01/2017 00:00,20/01/2017 00:00,Second Class,Technology,Accessories,United States,West,California,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Eric Hoffmann,90.57,3,11.7741,0
28,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Furniture,Bookcases,United States,East,Pennsylvania,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Tracy Blumstein,3083.43,7,-1665.0522,0.5
29,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Office Supplies,Binders,United States,East,Pennsylvania,19140,Avery Recycled Flexi-View Covers for Binding Systems,Tracy Blumstein,9.618,2,-7.0532,0.7
30,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Furniture,Furnishings,United States,East,Pennsylvania,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Tracy Blumstein,124.2,3,15.525,0.2
31,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Office Supplies,Envelopes,United States,East,Pennsylvania,19140,Poly String Tie Envelopes,Tracy Blumstein,3.264,2,1.1016,0.2
32,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Office Supplies,Art,United States,East,Pennsylvania,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Tracy Blumstein,86.304,6,9.7092,0.2
33,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Office Supplies,Binders,United States,East,Pennsylvania,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Tracy Blumstein,6.858,6,-5.715,0.7
34,US-2016-150630,17/09/2016 00:00,21/09/2016 00:00,Standard Class,Office Supplies,Art,United States,East,Pennsylvania,19140,Lumber Crayons,Tracy Blumstein,15.76,2,3.546,0.2
35,CA-2018-107727,19/10/2018 00:00,23/10/2018 00:00,Second Class,Office Supplies,Paper,United States,Central,Texas,77095,Easy-staple paper,Matt Abelman,29.472,3,9.9468,0.2
36,CA-2017-117590,08/12/2017 00:00,10/12/2017 00:00,First Class,Technology,Phones,United States,Central,Texas,75080,GE 30524EE4,Gene Hale,1097.544,7,123.4737,0.2
37,CA-2017-117590,08/12/2017 00:00,10/12/2017 00:00,First Class,Furniture,Furnishings,United States,Central,Texas,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Gene Hale,190.92,5,-147.963,0.6
38,CA-2016-117415,27/12/2016 00:00,31/12/2016 00:00,Standard Class,Office Supplies,Envelopes,United States,Central,Texas,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Steve Nguyen,113.328,9,35.415,0.2
39,CA-2016-117415,27/12/2016 00:00,31/12/2016 00:00,Standard Class,Furniture,Bookcases,United States,Central,Texas,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Steve Nguyen,532.3992,3,-46.9764,0.32
40,CA-2016-117415,27/12/2016 00:00,31/12/2016 00:00,Standard Class,Furniture,Chairs,United States,Central,Texas,77041,"Global Fabric Manager's Chair, Dark Gray",Steve Nguyen,212.058,3,-15.147,0.3
41,CA-2016-117415,27/12/2016 00:00,31/12/2016 00:00,Standard Class,Technology,Phones,United States,Central,Texas,77041,Plantronics HL10 Handset Lifter,Steve Nguyen,371.168,4,41.7564,0.2
42,CA-2018-120999,10/09/2018 00:00,15/09/2018 00:00,Standard Class,Technology,Phones,United States,Central,Illinois,60540,Panasonic Kx-TS550,Linda Cazamias,147.168,4,16.5564,0.2
43,CA-2017-101343,17/07/2017 00:00,22/07/2017 00:00,Standard Class,Office Supplies,Storage,United States,West,California,90049,"Eldon Base for stackable storage shelf, platinum",Ruben Ausman,77.88,2,3.894,0
44,CA-2018-139619,19/09/2018 00:00,23/09/2018 00:00,Standard Class,Office Supplies,Storage,United States,South,Florida,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Erin Smith,95.616,2,9.5616,0.2
45,CA-2017-118255,11/03/2017 00:00,13/03/2017 00:00,First Class,Technology,Accessories,United States,Central,Minnesota,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Odella Nelson,45.98,2,19.7714,0
46,CA-2017-118255,11/03/2017 00:00,13/03/2017 00:00,First Class,Office Supplies,Binders,United States,Central,Minnesota,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,Odella Nelson,17.46,2,8.2062,0
47,CA-2015-146703,20/10/2015 00:00,25/10/2015 00:00,Second Class,Office Supplies,Storage,United States,Central,Michigan,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Patrick O'Donnell,211.96,4,8.4784,0
48,CA-2017-169194,20/06/2017 00:00,25/06/2017 00:00,Standard Class,Technology,Accessories,United States,East,Delaware,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Lena Hernandez,45,3,4.95,0
